Id,Description,Created at,Updated at,Latitude,Longitude,Short description,Site name [Sites],Latitude [Sites],Longitude [Sites],SOVEREIGN1,TERRITORY1,Notes
45,Micronesia - Caroline Islands (Pohnpei),6/17/16 7:12,11/13/18 4:33,7.51498,134.58252, - ,"Ngemelis Island,Puluwat Atoll, Caroline Islands,Magic Kingdom, Caroline Islands,Kayangel Atoll,Pohnpei,Caroline Islands,Pohnpei,Siaes Wall,Turtle Cove,Unnamed site","7.138,7.354,9.434,8.071,6.93,6.79,6.854,7.308,7.084,6.854","134.222,149.18,138.035,134.682,158.11,158.034,158.262,134.22,134.255,158.262",Micronesia ,Caroline Islands,
46,Panama - Caribbean Sea,6/17/16 7:12,5/24/17 4:16,9.062601,-81.55426, - ,"Perro Islands,Unnamed site","7.953,9.839","-82.01,-79.503",Panama ,Panama ,
47,Panama - Pacific Ocean,6/17/16 7:12,5/24/17 4:17,7.054216,-80.612183, - ,"Hannibal Bank,Uva Islands","7.436,7.815","-82.075,-81.759",Panama ,Panama ,
48,Puerto Rico,6/17/16 7:12,6/17/16 7:12,18.220833,-66.590149, - ,"Desecheo Island,Black Wall,Se Slope,El Hoyo-Precipio,Weinberg,Grammanik Bank,Southern Vieques Island,La Parguera,Guánica Bay,Black Jack Reef, Vieques Island,Caja de Muertos East,Caja de Muertos West,East Dumpsite East,East Dumpsite West,East of Channel,Outfall,West of Channel,West Dumpsite,Ratones East,Ratones Center,West of Ratones,East of Tallaboa,Tallaboa,Hole-in-the-Wal,El Hoyo,Abrir la Sierra,Weinberg, La Parguera,Bajo de Sico,Tourmaline,Hole-in-the-Wall, La Parguera,Precipicio, La Parguera,Terrace, La Parguera,Black Wall, La Parguera,Buoy, La Parguera,Unnamed site,Mona Island,Vieques Island, Puerto Rico,Bajo de Sico, Puerto Rico,Rio Grande, Puerto Rico,Mona Island,Hole-in-the-Wall, La Parguera,Caja de Muertos Island, Ponce,Bajo de Cico Bank,Hind Bank MCD,Mona Island","18.382,17.883,17.887,17.875,17.889,18.189,18.051,17.877,17.925,18.05,17.843,17.853,17.899,17.906,17.924,17.929,17.933,17.943,17.945,17.946,17.944,17.938,17.943,17.884,17.877,18.762,17.89,18.231,18.175,17.885,17.875,17.879,17.883,17.888,18.221,18.083,18.122,18.245,18.42,18.046,17.89,17.853,18.233,18.2,18.05","-67.488,-67.015,-67.003,-67.042,-66.986,-64.956,-65.463,-60.043,-66.872,-65.45,-66.568,-66.581,-66.61,-66.62,-66.621,-66.642,-66.657,-66.668,-66.673,-66.68,-66.69,-66.711,-66.73,-67.021,-67.041,-67.157,-66.989,-67.432,-67.327,-67.022,-67.049,-67.033,-67.015,-66.997,-66.59,-67.893,-65.193,-67.413,-65.795,-67.879,-66.989,-66.581,-67.417,-62.417,-67.9",USA,Puerto Rico,
49,Saudi Arabia - Red Sea,6/17/16 7:12,5/24/17 4:30,22.252,38.956, - ,reef Al Fahal,22.252,38.956,Saudi Arabia ,Saudi Arabia ,
50,El Salvador,6/17/16 7:12,5/24/17 4:28,13.254593,-88.971586, - ,San Salvador,13.254593,-88.971586,El Salvador,El Salvador,
51,South Africa,6/17/16 7:12,6/17/16 7:12,-34.787867,24.060059, - ,"Unnamed site,Tsitsikamma National Park","-34.05,0.0","23.894,0.0",South Africa,South Africa,
52,Spain - Mediterranean Sea,6/17/16 7:12,5/24/17 4:31,42.330488,3.338814, - ,"Cap de Creus,Cap de Creus,Punta Falconera, Cap de Creus,Punta de sa Oliguera, Cap de Creus,Ses Ielles, Cap de Creus,Punta Salinas, Coast of Montgri,Illa del Dufí, Medas Islands,Serra Ventosa, Medas Islands,Cova de la Reina, Medas Islands,Barda del Sastre, Medas Islands,Illes Medes,Illa del Düí, Coast of Montgri,Cap de Creus","42.312,42.05,42.229,42.334,42.311,42.099,42.103,43.042,43.041,43.041,43.042,42.103,42.32","3.318,3.05,3.217,3.275,3.297,3.214,3.196,3.225,3.225,3.225,3.225,3.196,3.326",Spain ,Spain ,
53,St Vincent,6/17/16 7:12,6/17/16 7:12,13.253,-61.197, - ,Unnamed site,13.253,-61.197,Saint Vincent and the Grenadines,St Vincent,
54,Sudan - Red Sea,6/17/16 7:12,5/24/17 4:31,19.672332,37.683105, - ,"Wingate Reef, Port Sudan",19.633,37.3,Sudan ,Sudan ,
55,Turks and Caicos,6/17/16 7:12,6/17/16 7:12,21.694,-71.798, - ,Turks and Caicos,21.694,-71.798,United Kingdom,Turks and Caicos,
56,US Virgin Islands,6/17/16 7:12,6/17/16 7:12,18.335765,-64.896335, - ,"Hind Bank MCD,Hind Bank MCD,Hind Bank MCD,Hind Bank MCD,Mid-shelf Reef 1,South St. Thomas,Hind Bank MCD,Hind Bank MCD,Red Hind Bank,Lang Bank,Hind Bank MCD,Hind Bank MCD,Southeast of St. Thomas,Perseverance Bay,St. Croix,Hind Bank MCD,Hind Bank MCD,St Thomas,St Croix,Unnamed site,Black Point,Flat Cay,Unnamed site,Salt River Canyon, St. Croix,Unnamed site,insular shelf south St Thomas,insular shelf south St John,Cane Bay, St Croix,St. John,Flat Cay,Buck Island,College shoal,Buck Island,South Capella","18.22,18.22,18.178,18.197,18.25,18.304,18.197,18.2,18.203,17.817,18.185,18.214,18.294,18.346,17.75,18.205,18.205,18.261,17.706,18.465,18.344,18.318,18.0,17.787,18.318,18.261,18.249,17.773,18.222,18.53,18.465,18.31,18.279,18.263","-65.1,-64.983,-65.1,-64.983,-64.77,-64.96,-65.079,-65.667,-65.002,-64.45,-65.076,-64.999,-64.868,-64.987,-64.833,-65.003,-65.1,-64.85,-64.859,-65.489,-64.986,-64.989,-65.0,-64.759,-64.989,-64.85,-64.769,-64.811,-64.676,-65.652,-65.498,-65.128,-64.898,-64.872",USA,US Virgin Islands,
58,USA - Pulley Ridge,6/17/16 7:12,5/24/17 4:47,24.581471,-81.639404, - ,"Pulley Reef,southern Pulley Ridge,southern Pulley Ridge,Upper Keys,Lower Keys,Dry Tortugas,Unnamed site,Unnamed site,Unnamed site,Unnamed site,Unnamed site,Unnamed site,Eastern Gulf of Mexico,Eastern Gulf of Mexico,Eastern Gulf of Mexico,Eastern Gulf of Mexico,Unnamed site,Unnamed site,Unnamed site,Unnamed site,Unnamed site,Upper Keys,Lower Keys,Dry Tortugas,Marathon, Florida","24.833,25.0,24.667,24.978,24.89,24.652,28.333,28.333,28.7,28.7,24.581471,24.607,27.0,27.0,24.5,24.5,25.4,26.292,26.292,26.017,26.017,24.934,24.516,24.611,24.395","-83.667,-83.6,-83.783,-80.459,-81.645,-82.89,-84.167,-84.417,-84.167,-84.417,-81.639404,-81.093,-84.667,-82.5,-84.0,-81.667,-82.3,-80.067,-80.042,-80.067,-80.083,-80.563,-81.542,-82.871,-81.004",USA ,Pulley Ridge,
